red,green,code,blue,nir,maingrid,swir1,swir2,randomc,value,OGC_FID,subgrid
903.0000,761.0000,-46.698361_-23.546451,540.5000,1855.5000,SF-23-Y-C,1893.0000,1430.0000,0.087784109615488,1,36238,SF-23-Y-C-VI
1079.5000,921.0000,-46.703028_-23.538194,676.5000,1647.5000,SF-23-Y-C,1992.5000,1665.0000,0.491150575054901,1,35996,SF-23-Y-C-VI
949.0000,798.0000,-46.683283_-23.540348,613.0000,1391.0000,SF-23-Y-C,1682.0000,1424.0000,0.715225369370454,1,36198,SF-23-Y-C-VI
1149.0000,989.0000,-46.675385_-23.534245,787.0000,1454.0000,SF-23-Y-C,1955.5000,1725.0000,0.877782022676967,1,36079,SF-23-Y-C-VI
964.0000,899.0000,-46.661384_-23.529937,777.0000,1188.0000,SF-23-Y-C,1524.0000,1466.0000,0.330320985468218,1,36281,SF-23-Y-C-VI
1032.0000,887.0000,-46.664974_-23.541066,662.0000,1648.5000,SF-23-Y-C,1668.5000,1387.5000,0.487629068851905,1,36264,SF-23-Y-C-VI
643.0000,674.5000,-46.662102_-23.539271,557.0000,1607.0000,SF-23-Y-C,1158.5000,809.5000,0.067809900479115,1,36103,SF-23-Y-C-VI
630.0000,633.0000,-46.661743_-23.541425,486.0000,1024.0000,SF-23-Y-C,956.0000,725.0000,0.189010605246366,1,36338,SF-23-Y-C-VI
643.0000,660.0000,-46.664974_-23.556503,520.0000,1652.0000,SF-23-Y-C,1195.0000,844.0000,0.225122297888925,1,36287,SF-23-Y-C-VI
818.5000,745.5000,-46.657435_-23.556144,596.5000,1088.5000,SF-23-Y-C,1465.5000,1380.0000,0.278536268280220,1,36343,SF-23-Y-C-VI
1045.0000,894.0000,-46.643434_-23.527783,673.0000,1316.5000,SF-23-Y-C,1811.0000,1664.0000,0.733580594497595,1,36340,SF-23-Y-C-VI
993.0000,916.0000,-46.649178_-23.524193,720.0000,1191.0000,SF-23-Y-C,1828.0000,1862.0000,0.751227480316075,1,36042,SF-23-Y-C-VI
1116.0000,1052.0000,-46.615791_-23.514859,937.0000,1391.0000,SF-23-Y-C,1948.0000,2235.0000,0.165323998591560,1,36104,SF-23-Y-C-VI
1268.0000,1016.5000,-46.614355_-23.506243,740.0000,1673.0000,SF-23-Y-C,2235.0000,1952.0000,0.342279060216700,1,36242,SF-23-Y-C-VI
1174.5000,966.5000,-46.60897_-23.514141,735.0000,1522.5000,SF-23-Y-C,2060.5000,1877.0000,0.571355229968873,1,36001,SF-23-Y-C-VI
1030.5000,951.0000,-46.602508_-23.527424,675.0000,1402.5000,SF-23-Y-C,1489.5000,1308.5000,0.892799007707012,1,36267,SF-23-Y-C-VI
996.0000,869.0000,-46.61256_-23.537835,682.0000,1272.0000,SF-23-Y-C,1724.0000,1659.0000,0.706480490149659,1,36297,SF-23-Y-C-VI
994.0000,853.0000,-46.612919_-23.528142,722.0000,1131.0000,SF-23-Y-C,1416.0000,1267.0000,0.694458068672150,1,36027,SF-23-Y-C-VI
927.0000,834.0000,-46.625125_-23.534963,653.0000,1096.0000,SF-23-Y-C,1235.0000,1059.0000,0.971820292570387,1,36137,SF-23-Y-C-VI
